name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
Federal University of São Carlos,,http://www.ufscar.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/13/UFSCar_foto1.JPG,Brazil,São Carlos,"['Biology', 'Physics', 'Chemistry', 'Engineering', 'Organic chemistry', 'Philosophy', 'Quantum mechanics', 'Materials science', 'Art', 'Medicine', 'Computer science', 'Mathematics', 'Biochemistry', 'Humanities']","[48.2, 44.8, 44.1, 32.4, 32.2, 31.2, 29.7, 28.5, 25.9, 25.1, 25.1, 23.7, 22.6, 22.2]",[]
Federal University of Pernambuco,Universidade Federal de Pernambuco,https://www.ufpe.br/english/,['Universidade Federal de Pernambuco'],https://upload.wikimedia.org/wikipedia/commons/8/85/Bras%%C3%%A3o_da_UFPE.png,Brazil,Recife,"['Biology', 'Philosophy', 'Medicine', 'Physics', 'Chemistry', 'Art', 'Computer science', 'Mathematics', 'Humanities', 'Engineering']","[47.8, 35.5, 34.2, 31.5, 29.5, 28.6, 28.1, 25.1, 24.7, 23.4]",[]
Fluminense Federal University,Università federale Fluminense,http://www.uff.br/,[],https://upload.wikimedia.org/wikipedia/en/4/47/UFF_bras%%C3%%A3o.png,Brazil,Niterói,"['Philosophy', 'Biology', 'Art', 'Medicine', 'Humanities', 'Physics', 'Chemistry', 'Computer science', 'Mathematics', 'Political science', 'Engineering']","[41.0, 39.2, 35.0, 33.6, 30.6, 30.4, 26.9, 24.2, 22.8, 21.6, 21.1]",['Hospital Universitário Antônio Pedro']
Universidade Federal de Santa Maria,,http://site.ufsm.br/,[],https://upload.wikimedia.org/wikipedia/commons/2/23/Brasao_UFSM_Color_300dpi.jpg,Brazil,Santa Maria,"['Biology', 'Chemistry', 'Philosophy', 'Physics', 'Medicine', 'Art', 'Humanities', 'Organic chemistry', 'Biochemistry', 'Ecology', 'Mathematics']","[53.9, 35.9, 35.7, 34.9, 34.7, 31.7, 28.1, 23.6, 21.5, 21.1, 20.5]",['Hospital Universitário de Santa Maria']
Rio de Janeiro State University,,http://www.uerj.br/,[],https://upload.wikimedia.org/wikipedia/en/4/4f/Rio_de_Janeiro_State_University_logo.png,Brazil,Rio de Janeiro,"['Philosophy', 'Biology', 'Art', 'Medicine', 'Humanities', 'Physics', 'Chemistry', 'Political science', 'Mathematics']","[43.1, 38.9, 37.5, 35.7, 33.2, 27.9, 22.1, 21.2, 20.8]",['Hospital Universitário Pedro Ernesto']
Universidade Federal do Ceará,Università Federale del Cearà,http://www.ufc.br/,['Ceará Federal University'],https://upload.wikimedia.org/wikipedia/commons/a/a9/Brasao4_vertical_cor_300dpi.png,Brazil,Fortaleza,"['Biology', 'Medicine', 'Philosophy', 'Chemistry', 'Physics', 'Art', 'Humanities', 'Mathematics', 'Computer science', 'Biochemistry', 'Engineering']","[50.8, 39.2, 34.3, 33.9, 31.5, 29.1, 25.6, 22.2, 21.4, 21.3, 20.6]",['Hospital Universitário Walter Cantídio']
Federal University of Paraíba,,http://www.ufpb.br/,[],https://upload.wikimedia.org/wikipedia/commons/2/24/Logo_ufpb.jpg,Brazil,João Pessoa,"['Philosophy', 'Biology', 'Art', 'Humanities', 'Physics', 'Medicine', 'Chemistry', 'Mathematics', 'Computer science']","[44.2, 40.7, 39.4, 35.3, 29.2, 28.9, 26.3, 21.7, 20.6]",[]
Universidade Federal de Viçosa,,http://www.ufv.br/,[],https://upload.wikimedia.org/wikipedia/commons/e/e3/Bras%%C3%%A3o_oficial_da_Universidade_Federal_de_Vi%%C3%%A7osa.gif,Brazil,Viçosa,"['Biology', 'Chemistry', 'Ecology', 'Botany', 'Medicine', 'Physics', 'Biochemistry', 'Horticulture', 'Geology', 'Genetics', 'Agronomy', 'Organic chemistry', 'Geography', 'Philosophy', 'Mathematics']","[72.6, 45.3, 39.9, 36.4, 32.1, 29.9, 27.9, 27.6, 27.6, 25.3, 24.8, 24.2, 23.7, 22.3, 20.3]",[]
Universidade Federal de Goiás,Università federale di Goiás,https://www.ufg.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/19/UFG_logo.svg,Brazil,Goiânia,"['Biology', 'Medicine', 'Philosophy', 'Art', 'Chemistry', 'Humanities', 'Physics', 'Genetics', 'Mathematics']","[51.4, 38.4, 37.2, 32.6, 30.6, 29.1, 27.3, 20.3, 20.1]",[]
Federal University of Rio Grande do Norte,Università Federale del Rio Grande do Norte,http://www.ufrn.br/,[],https://upload.wikimedia.org/wikipedia/commons/f/f5/Brasao_UFRN.PNG,Brazil,Natal,"['Biology', 'Medicine', 'Philosophy', 'Physics', 'Chemistry', 'Art', 'Computer science', 'Engineering', 'Mathematics', 'Humanities', 'Psychology']","[48.4, 36.8, 35.4, 34.6, 30.2, 29.5, 26.9, 25.6, 25.3, 24.8, 22.8]",['Hospital Universitário Onofre Lopes']
