name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
University of Pavia,Università di Pavia,http://www.unipv.eu/site/en/home.html,['Università di Pavia'],https://upload.wikimedia.org/wikipedia/commons/d/dc/Logo_UNIPV.svg,Italy,Pavia,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Mathematics', 'Quantum mechanics', 'Computer science', 'Engineering', 'Pathology', 'Psychology', 'Organic chemistry', 'Materials science']","[66.8, 57.7, 46.4, 44.7, 41.8, 35.3, 33.3, 30.0, 29.5, 29.3, 28.7, 27.8, 26.2, 22.4, 21.3]",[]
University of Rome Tor Vergata,"Università degli Studi di Roma ""Tor Vergata""",http://web.uniroma2.it/home.php?newlang=italian,['University of Rome II'],https://upload.wikimedia.org/wikipedia/commons/9/97/Rettorato_Universit%%C3%%A0_di_Roma_Tor_Vergata.png,Italy,Rome,"['Biology', 'Physics', 'Medicine', 'Chemistry', 'Mathematics', 'Internal medicine', 'Computer science', 'Quantum mechanics', 'Engineering', 'Genetics', 'Biochemistry', 'Pathology', 'Psychology', 'Organic chemistry', 'Materials science']","[62.0, 51.0, 50.9, 43.7, 36.5, 36.3, 36.1, 34.8, 34.4, 33.5, 30.1, 23.9, 23.8, 21.6, 20.8]",['INFN Sezione di Roma II']
University of Bari Aldo Moro,Università degli Studi di Bari Aldo Moro,http://www.uniba.it/english-version,['University of Bari'],https://upload.wikimedia.org/wikipedia/commons/4/48/26_UNIVERSITA%%27_DI_BARI.jpg,Italy,Bari,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Genetics', 'Biochemistry', 'Physics', 'Pathology', 'Mathematics', 'Psychology', 'Organic chemistry', 'Computer science', 'Quantum mechanics', 'Engineering']","[73.5, 58.8, 50.5, 43.7, 42.1, 38.4, 37.9, 29.3, 26.4, 24.5, 24.4, 24.2, 22.5, 21.8]",[]
University of Palermo,Università degli Studi di Palermo,http://portale.unipa.it/,[],https://upload.wikimedia.org/wikipedia/commons/e/e1/Facolt%%C3%%A0_di_Architettura_a_Palermo.jpg,Italy,Palermo,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Engineering', 'Biochemistry', 'Mathematics', 'Computer science', 'Quantum mechanics', 'Pathology', 'Organic chemistry', 'Geology', 'Psychology']","[67.0, 48.8, 45.2, 41.7, 34.9, 31.9, 31.0, 30.4, 29.9, 29.6, 26.3, 23.7, 23.3, 21.4, 21.3]","['Azienda Ospedaliera Universitaria Policlinico ""Paolo Giaccone"" di Palermo']"
Polytechnic University of Turin,Politecnico di Torino,http://www.polito.it/,[],https://upload.wikimedia.org/wikipedia/en/2/2f/Motto_polito.jpg,Italy,Turin,"['Engineering', 'Physics', 'Computer science', 'Mathematics', 'Quantum mechanics', 'Materials science', 'Biology', 'Thermodynamics', 'Chemistry', 'Electrical engineering', 'Composite material', 'Operating system', 'Artificial intelligence', 'Organic chemistry', 'Geology', 'Geography', 'Economics', 'Programming language', 'Statistics']","[75.3, 71.2, 67.5, 57.6, 55.0, 38.9, 38.9, 33.8, 33.7, 28.6, 26.4, 24.6, 24.3, 23.6, 23.5, 23.3, 22.4, 22.3, 20.7]",['Institute for Complex Systems']
University of Catania,Università di Catania,http://www.unict.it/,[],https://upload.wikimedia.org/wikipedia/commons/9/9c/Catane_Universit%%C3%%A9.jpg,Italy,Catania,"['Biology', 'Physics', 'Medicine', 'Chemistry', 'Internal medicine', 'Computer science', 'Engineering', 'Mathematics', 'Genetics', 'Quantum mechanics', 'Biochemistry', 'Organic chemistry', 'Psychology', 'Pathology', 'Materials science']","[64.2, 48.1, 47.4, 46.4, 34.3, 33.8, 33.7, 32.6, 32.4, 32.3, 31.0, 25.7, 23.2, 23.0, 22.4]","['Centro Siciliano di Fisica Nucleare e di Struttura della Materia', 'INFN Sezione di Catania']"
University of Perugia,Università degli Studi di Perugia,http://www.unipg.it/,[],https://upload.wikimedia.org/wikipedia/commons/a/ab/Logo_unipg.svg,Italy,Perugia,"['Biology', 'Chemistry', 'Medicine', 'Physics', 'Internal medicine', 'Biochemistry', 'Genetics', 'Mathematics', 'Quantum mechanics', 'Engineering', 'Computer science', 'Organic chemistry', 'Pathology', 'Materials science', 'Psychology']","[67.0, 51.2, 50.2, 48.1, 37.9, 35.3, 34.0, 30.8, 30.8, 30.4, 29.1, 28.7, 24.4, 22.5, 20.5]","['INFN Sezione di Perugia', 'INFN Sezione di Pisa', 'Azienda Ospedaliera di Perugia']"
Catholic University of the Sacred Heart,Università Cattolica del Sacro Cuore,http://www.ucsc.it/,[],,Italy,Milan,"['Medicine', 'Biology', 'Internal medicine', 'Genetics', 'Pathology', 'Chemistry', 'Psychology', 'Surgery', 'Biochemistry', 'Psychiatry', 'Physics', 'Mathematics', 'Endocrinology', 'Radiology', 'Computer science', 'Immunology']","[79.0, 75.7, 61.5, 43.8, 41.8, 39.4, 38.3, 33.4, 32.1, 27.0, 25.7, 25.3, 21.8, 20.8, 20.1, 20.1]",['Agostino Gemelli University Polyclinic']
University of Parma,Università degli Studi di Parma,http://en.unipr.it/,[],https://upload.wikimedia.org/wikipedia/en/3/37/UniParma-Logo.jpg,Italy,Parma,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Organic chemistry', 'Mathematics', 'Quantum mechanics', 'Engineering', 'Computer science', 'Psychology', 'Pathology', 'Materials science']","[69.8, 56.0, 51.6, 45.7, 40.8, 35.6, 34.8, 29.2, 29.2, 29.0, 28.5, 27.5, 25.9, 25.3, 23.9]",['Ospedale di Parma']
University of Siena,Università degli Studi di Siena,http://www.unisi.it/,[],https://upload.wikimedia.org/wikipedia/en/c/c1/University_of_Siena.png,Italy,Siena,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Genetics', 'Physics', 'Biochemistry', 'Pathology', 'Mathematics', 'Computer science', 'Psychology', 'Organic chemistry', 'Engineering', 'Quantum mechanics']","[71.8, 60.1, 47.4, 43.4, 41.4, 38.4, 36.5, 28.9, 27.8, 27.5, 24.8, 22.2, 22.2, 20.1]",['Azienda Ospedaliera Universitaria Senese']
University of Verona,Università di Verona,http://www.univr.it/jsp/index.jsp,[],https://upload.wikimedia.org/wikipedia/commons/5/54/Univr_nuovo_sigillo.jpg,Italy,Verona,"['Biology', 'Medicine', 'Internal medicine', 'Chemistry', 'Genetics', 'Pathology', 'Psychology', 'Biochemistry', 'Physics', 'Mathematics', 'Surgery', 'Computer science', 'Endocrinology', 'Psychiatry', 'Immunology']","[75.5, 74.5, 58.8, 42.6, 41.4, 39.6, 36.3, 35.6, 29.8, 29.3, 27.9, 25.8, 25.2, 24.3, 21.7]",[]
University of Modena and Reggio Emilia,Università degli Studi di Modena e Reggio Emilia,http://www.unimore.it/,[],https://upload.wikimedia.org/wikipedia/commons/0/01/Logo_B_Positivo_Colore.jpg,Italy,Modena,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Physics', 'Genetics', 'Biochemistry', 'Mathematics', 'Pathology', 'Computer science', 'Engineering', 'Psychology', 'Organic chemistry', 'Quantum mechanics', 'Materials science']","[68.9, 58.0, 49.6, 44.1, 40.5, 39.1, 34.3, 30.1, 29.5, 29.4, 28.3, 26.3, 25.0, 24.6, 21.6]",[]
University of Milano-Bicocca,Università Milano Bicocca,http://www.unimib.it/go/102/Home/English,[],https://upload.wikimedia.org/wikipedia/en/2/25/Milano-Bicocca_University_logo.jpg,Italy,Milan,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Computer science', 'Mathematics', 'Psychology', 'Genetics', 'Quantum mechanics', 'Engineering', 'Pathology', 'Biochemistry']","[62.8, 52.2, 42.7, 38.4, 37.5, 36.0, 35.9, 30.1, 28.6, 27.9, 27.9, 24.8, 24.3]",['INFN Sezione di Milano Bicocca']
University of Messina,Università degli studi di Messina,http://www.unime.it/,[],https://upload.wikimedia.org/wikipedia/commons/6/62/UnimeLogo.gif,Italy,Messina,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Physics', 'Genetics', 'Biochemistry', 'Organic chemistry', 'Pathology', 'Psychology', 'Quantum mechanics', 'Engineering', 'Mathematics', 'Computer science', 'Endocrinology', 'Materials science', 'Surgery']","[72.7, 62.0, 53.2, 47.8, 41.5, 38.5, 38.2, 30.1, 29.6, 27.8, 25.2, 25.2, 25.0, 22.9, 22.7, 21.4, 20.5]",[]
